,Unnamed: 0,URL,Price,Dimensions,Disposition,Location,City,Street
119,123,https://www.sreality.cz//detail/pronajem/byt/pokoj/napajedla-napajedla-masarykovo-namesti/2191180364,7000,16,pokoje,"Masarykovo náměstí, Napajedla",Napajedla,Masarykovo náměstí
120,124,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-stefanikova/4156277324,17000,50,2+kk,"Štefánikova, Zlín",Zlín,Štefánikova
121,125,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-ceska/1913967180,10000,45,2+1,"Česká, Zlín",Zlín,Česká
122,126,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172,13500,45,2+1,"Na Honech II, Zlín",Zlín,Na Honech II
123,127,https://www.sreality.cz//detail/pronajem/byt/2+kk/luhacovice-luhacovice-mlynska/1280692812,13000,69,2+kk,"Mlýnská, Luhačovice",Luhačovice,Mlýnská
124,128,https://www.sreality.cz//detail/pronajem/byt/pokoj/zlin-zlin-ceska/3884372556,4000,89,pokoje,"Česká, Zlín",Zlín,Česká
125,129,https://www.sreality.cz//detail/pronajem/byt/3+1/otrokovice-otrokovice-nam-3-kvetna/3001537100,15000,93,3+1,"nám. 3. května, Otrokovice",Otrokovice,nám. 3. května
126,130,https://www.sreality.cz//detail/pronajem/byt/3+1/otrokovice-otrokovice-nam-3-kvetna/2853687884,15900,85,3+1,"nám. 3. května, Otrokovice",Otrokovice,nám. 3. května
127,131,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-malenovice-trida-svobody/4015116876,12000,57,2+1,"třída Svobody, Zlín - Malenovice",Zlín - Malenovice,třída Svobody
128,132,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-louky-zadni-luhy/762040908,11900,36,1+kk,"Zadní luhy, Zlín - Louky",Zlín - Louky,Zadní luhy
129,133,https://www.sreality.cz//detail/pronajem/byt/2+1/napajedla-napajedla-na-kapli/3816153676,13000,60,2+1,"Na Kapli, Napajedla",Napajedla,Na Kapli
130,134,https://www.sreality.cz//detail/pronajem/byt/2+kk/luhacovice-luhacovice-/3879764556,22000,85,2+kk,Luhačovice,,Luhačovice
131,135,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,14000,57,2+kk,"Nad Vývozem, Zlín",Zlín,Nad Vývozem
132,136,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-vetrna/1114169932,15000,54,2+1,"Větrná, Zlín",Zlín,Větrná
